participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.bomb,player.bomb_row,player.bomb_col,player.boxes_collected,player.pay_this_round,player.round_result,player.payoff,group.id_in_subsession,subsession.round_number,session.code
4,pgvesq8a,,0,184,183,etfs,Adios,128.200.135.208,2018-12-07 21:25:27.915371+00:00,1,,,654,4,0,6,3,27,1,81,81,1,1,vh967hka
5,k6i1mfqz,,0,184,183,etfs,Adios,128.200.135.216,2018-12-07 21:25:28.812126+00:00,1,,,749.5,5,0,5,10,50,1,150,150,1,1,vh967hka
6,9jdfepju,,0,184,183,etfs,Adios,128.200.135.199,2018-12-07 21:25:29.043112+00:00,1,,,666,6,0,8,9,40,1,120,120,1,1,vh967hka
7,gyw34a8k,,0,184,183,etfs,Adios,128.200.135.209,2018-12-07 21:25:29.519307+00:00,1,,,554.5,7,1,6,9,40,1,0,0,1,1,vh967hka
8,gilhmf59,,0,183,183,etfs,Adios,128.200.135.212,2018-12-07 21:25:30.823128+00:00,1,,,713,8,0,3,1,50,1,150,150,1,1,vh967hka
9,99wahnj9,,0,184,183,etfs,Adios,128.200.135.201,2018-12-07 21:25:31.157672+00:00,1,,,607,9,0,6,1,5,1,15,15,1,1,vh967hka
1,avnydzjr,,0,184,183,etfs,Adios,128.200.135.214,2018-10-24 20:23:03.485505+00:00,1,,,493,1,0,7,5,40,1,120,120,1,1,clpcm192
2,n0wkni47,,0,183,183,etfs,Adios,128.200.135.208,2018-10-24 20:23:04.137892+00:00,1,,,652.9,2,0,2,7,20,1,60,60,1,1,clpcm192
3,0hcfd9ib,,0,183,183,etfs,Adios,128.200.135.201,2018-10-24 20:23:04.086929+00:00,1,,,434.9,3,0,7,4,34,1,102,102,1,1,clpcm192
4,l3xbnn7g,,0,184,183,etfs,Adios,128.200.135.206,2018-10-24 20:23:05.465932+00:00,1,,,728.7,4,0,6,1,33,1,99,99,1,1,clpcm192
5,ih5zksdd,,0,183,183,etfs,Adios,128.200.135.209,2018-10-24 20:23:05.463967+00:00,1,,,705.1,5,0,3,8,40,1,120,120,1,1,clpcm192
6,1bjrkr2b,,0,184,183,etfs,Adios,128.200.135.212,2018-10-24 20:23:06.293803+00:00,1,,,726,6,0,6,1,25,1,75,75,1,1,clpcm192
7,xlafzq6t,,0,184,183,etfs,Adios,128.200.135.216,2018-10-24 20:23:08.102184+00:00,1,,,667.3,7,0,10,4,45,1,135,135,1,1,clpcm192
8,h6pgmbw9,,0,184,183,etfs,Adios,128.200.135.218,2018-10-24 20:23:08.845384+00:00,1,,,926.1,8,0,4,9,30,1,90,90,1,1,clpcm192
9,ck0yqaql,,0,184,183,etfs,Adios,128.200.135.199,2018-10-24 20:23:08.956154+00:00,1,,,495,9,1,4,1,24,1,0,0,1,1,clpcm192
1,xsqmkbgo,,0,184,183,etfs,Adios,128.200.135.218,2019-05-28 22:31:52.573243+00:00,1,,,735.5,1,1,2,9,22,1,0,0,1,1,228b74pm
2,g998nxj2,,0,184,183,etfs,Adios,128.200.135.199,2019-05-28 22:31:53.042307+00:00,1,,,530,2,0,8,6,40,1,120,120,1,1,228b74pm
3,3r6vrloa,,0,184,183,etfs,Adios,128.200.135.201,2019-05-28 22:31:54.442996+00:00,1,,,791.5,3,1,1,10,50,1,0,0,1,1,228b74pm
4,vbs8hkfb,,0,184,183,etfs,Adios,128.200.135.212,2019-05-28 22:31:56.493769+00:00,1,,,612,4,0,3,3,41,1,123,123,1,1,228b74pm
5,bmcsjgnh,,0,184,183,etfs,Adios,128.200.135.208,2019-05-28 22:31:57.571354+00:00,1,,,459,5,0,7,1,19,1,57,57,1,1,228b74pm
6,2cesyrzb,,0,184,183,etfs,Adios,128.200.135.214,2019-05-28 22:31:57.831331+00:00,1,,,493,6,1,4,8,50,1,0,0,1,1,228b74pm
7,92qqs58d,,0,183,183,etfs,Adios,128.200.135.216,2019-05-28 22:31:58.065156+00:00,1,,,653,7,0,2,7,27,1,81,81,1,1,228b74pm
8,jsm202xt,,0,184,183,etfs,Adios,128.200.135.209,2019-05-28 22:31:58.345105+00:00,1,,,622.5,8,1,3,4,30,1,0,0,1,1,228b74pm
9,euv8hxgi,,0,184,183,etfs,Adios,128.200.135.205,2019-05-28 22:33:53.397186+00:00,1,,,545.5,9,0,5,10,11,1,33,33,1,1,228b74pm
1,v5z3j3eb,,0,184,183,etfs2,Adios,128.200.135.201,2019-09-05 22:21:16.429610+00:00,1,,,666,1,0,4,8,40,1,120,120,1,1,j8ek3l5z
2,ws2s8aac,,0,184,183,etfs2,Adios,128.200.135.199,2019-09-05 22:21:16.605202+00:00,1,,,568.5,2,1,4,1,50,1,0,0,1,1,j8ek3l5z
3,fgdkovl6,,0,184,183,etfs2,Adios,128.200.135.208,2019-09-05 22:21:17.921108+00:00,1,,,584,3,1,10,10,40,1,0,0,1,1,j8ek3l5z
4,yk3f7gax,,0,184,183,etfs2,Adios,128.200.135.216,2019-09-05 22:21:18.308891+00:00,1,,,492.5,4,0,7,4,4,1,12,12,1,1,j8ek3l5z
5,wxfkdv20,,0,183,183,etfs2,Adios,128.200.135.206,2019-09-05 22:21:22.404868+00:00,1,,,863,5,0,4,10,32,1,96,96,1,1,j8ek3l5z
6,i48eq1i2,,0,184,183,etfs2,Adios,128.200.135.218,2019-09-05 22:21:23.235257+00:00,1,,,693,6,0,6,8,40,1,120,120,1,1,j8ek3l5z
7,bchl5jmk,,0,183,183,etfs2,Adios,128.200.135.220,2019-09-05 22:21:25.193705+00:00,1,,,644,7,1,2,7,60,1,0,0,1,1,j8ek3l5z
8,25bqanty,,0,184,183,etfs2,Adios,128.200.135.209,2019-09-05 22:21:25.686604+00:00,1,,,624,8,1,2,3,25,1,0,0,1,1,j8ek3l5z
9,vuwos0mz,,0,184,183,etfs2,Adios,128.200.135.214,2019-09-05 22:21:37.205122+00:00,1,,,601,9,1,2,5,62,1,0,0,1,1,j8ek3l5z
