participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.bomb,player.bomb_row,player.bomb_col,player.boxes_collected,player.pay_this_round,player.round_result,player.payoff,group.id_in_subsession,subsession.round_number,session.code
7,40o2cag1,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-08 20:24:58.587549+00:00,1,,,522.7,7,0,2,3,30,1,90,90,1,1,7digmq7m
8,tiu8bvj6,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-08 20:24:59.936716+00:00,1,,,477.8,8,1,10,6,46,1,0,0,1,1,7digmq7m
9,5sxunbvb,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-08 20:25:00.607817+00:00,1,,,666.2,9,1,7,6,40,1,0,0,1,1,7digmq7m
1,ozhitwwt,,0,184,183,etfs,Adios,128.200.135.209,2019-05-01 22:27:44.616064+00:00,1,,,673.5,1,0,7,9,32,1,96,96,1,1,yn7yehyz
2,qf65adf4,,0,184,183,etfs,Adios,128.200.135.206,2019-05-01 22:27:44.695917+00:00,1,,,492.4,2,1,3,4,37,1,0,0,1,1,yn7yehyz
3,ahneqn9o,,0,184,183,etfs,Adios,128.200.135.218,2019-05-01 22:27:45.113133+00:00,1,,,662.6,3,0,10,5,50,1,150,150,1,1,yn7yehyz
4,0p8cypcm,,0,183,183,etfs,Adios,128.200.135.201,2019-05-01 22:27:46.467636+00:00,1,,,676,4,0,5,5,38,1,114,114,1,1,yn7yehyz
5,plnuqqn0,,0,184,183,etfs,Adios,128.200.135.212,2019-05-01 22:27:46.487816+00:00,1,,,633.4,5,1,1,10,75,1,0,0,1,1,yn7yehyz
6,lmajtu3j,,0,184,183,etfs,Adios,128.200.135.208,2019-05-01 22:27:46.995764+00:00,1,,,565,6,1,5,3,25,1,0,0,1,1,yn7yehyz
7,ts9j0vus,,0,183,183,etfs,Adios,128.200.135.216,2019-05-01 22:27:47.849395+00:00,1,,,632,7,0,5,6,16,1,48,48,1,1,yn7yehyz
8,qesdz80v,,0,184,183,etfs,Adios,128.200.135.199,2019-05-01 22:27:48.947893+00:00,1,,,560.2,8,1,7,2,41,1,0,0,1,1,yn7yehyz
9,m66uyzpp,,0,183,183,etfs,Adios,128.200.135.214,2019-05-01 22:27:49.195493+00:00,1,,,691,9,0,6,7,50,1,150,150,1,1,yn7yehyz
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,1,6,1,55,1,0,0,1,1,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,0,10,7,41,1,123,123,1,1,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,0,4,4,27,1,81,81,1,1,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,0,1,5,40,1,120,120,1,1,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,1,3,2,66,1,0,0,1,1,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,0,8,6,50,1,150,150,1,1,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,0,7,4,14,1,42,42,1,1,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,0,7,7,30,1,90,90,1,1,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,0,4,7,50,1,150,150,1,1,odwd4238
1,wnjq1gbq,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-29 21:23:19.281797+00:00,1,,,495.5,1,1,3,10,90,1,0,0,1,1,06g2niti
2,91isu7d7,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-29 21:23:21.178644+00:00,1,,,817.5,2,0,5,6,35,1,105,105,1,1,06g2niti
3,uzttu9ej,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-29 21:23:21.588624+00:00,1,,,434,3,0,2,1,56,1,168,168,1,1,06g2niti
4,0q7oottc,,0,183,183,etfs2,Adios,128.200.135.214,2019-04-29 21:23:21.899657+00:00,1,,,728.5,4,0,6,2,40,1,120,120,1,1,06g2niti
5,yianhay9,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-29 21:23:23.978623+00:00,1,,,614,5,1,2,8,25,1,0,0,1,1,06g2niti
6,62etvc0a,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-29 21:23:24.940815+00:00,1,,,738.5,6,1,10,4,35,1,0,0,1,1,06g2niti
7,m68xfwrf,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-29 21:23:26.440489+00:00,1,,,643,7,0,5,5,17,1,51,51,1,1,06g2niti
8,bx4g6wve,,0,183,183,etfs2,Adios,128.200.135.209,2019-04-29 21:23:26.935323+00:00,1,,,396,8,0,8,9,49,1,147,147,1,1,06g2niti
9,z9pkppoa,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-29 21:23:27.347626+00:00,1,,,812,9,0,9,5,20,1,60,60,1,1,06g2niti
1,u9uzgq75,,0,184,183,etfs,Adios,128.200.135.209,2019-07-26 22:29:57.577620+00:00,1,,,723,1,0,10,1,35,1,105,105,1,1,d8135so2
2,dxkdcwy0,,0,184,183,etfs,Adios,128.200.135.218,2019-07-26 22:29:58.462585+00:00,1,,,555.3,2,0,9,1,47,1,141,141,1,1,d8135so2
