participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,u9uzgq75,,0,184,183,etfs,Adios,128.200.135.209,2019-07-26 22:29:57.577620+00:00,1,,,723,1,440,0,8,0,0,0,2,20,-8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,-6,-6,-6,-6,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
2,dxkdcwy0,,0,184,183,etfs,Adios,128.200.135.218,2019-07-26 22:29:58.462585+00:00,1,,,555.3,2,440,8,8,-1,0,0,3,8,-7,2,0,8,8,0,0,2,0,0,14,10,0,0,0,-5,-5,-5,-5,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
3,mpu0pmcb,,0,184,183,etfs,Adios,128.200.135.212,2019-07-26 22:29:58.395764+00:00,1,,,704,3,440,27,8,-1,1,1,1,1,-7,2,-1,1,1,1,1,1,0,0,0,0,0,0,0,-6,-6,-6,-6,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
4,1ote2k75,,0,184,183,etfs,Adios,128.200.135.199,2019-07-26 22:29:58.423690+00:00,1,,,686,4,396,0,2,0,0,0,0,0,-2,8,0,0,0,0,0,8,0,0,0,0,0,0,0,6,6,6,6,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
5,icnaoxjm,,0,184,183,etfs,Adios,128.200.135.201,2019-07-26 22:30:00.150649+00:00,1,,,744,5,396,0,2,0,0,0,2,15,-2,8,0,0,0,0,0,8,0,0,10,10,0,0,0,6,6,6,6,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
6,xz3pzc3a,,0,184,183,etfs,Adios,128.200.135.208,2019-07-26 22:30:00.217345+00:00,1,,,549.5,6,396,22,2,2,10,2,0,0,-4,8,-2,0,0,2,15,6,0,0,15,1,0,0,0,2,2,2,2,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
7,vmaitz53,,0,183,183,etfs,Adios,128.200.135.206,2019-07-26 22:30:01.347107+00:00,1,,,871.8,7,280,-38,0,0,0,0,0,0,0,0,2,20,2,0,0,2,10,0,30,2,1,25,0,2,2,2,2,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
8,p3emzs7i,,0,184,183,etfs,Adios,128.200.135.220,2019-07-26 22:30:02.063165+00:00,1,,,536,8,280,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
9,3fvw5hol,,0,183,183,etfs,Adios,128.200.135.214,2019-07-26 22:30:25.200293+00:00,1,,,834.5,9,280,-19,0,0,0,0,0,0,0,0,1,19,3,0,0,1,10,0,0,0,0,0,0,1,1,1,1,1,8,19,27,8,2,-1,19,3,1,30,1,0,1,1,d8135so2
1,u9uzgq75,,0,184,183,etfs,Adios,128.200.135.209,2019-07-26 22:29:57.577620+00:00,1,,,723,1,440,0,8,0,0,0,1,9,-8,2,0,15,0,0,0,2,0,0,0,0,0,0,0,-12,-12,-6,-6,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
2,dxkdcwy0,,0,184,183,etfs,Adios,128.200.135.218,2019-07-26 22:29:58.462585+00:00,1,,,555.3,2,448,-173,7,-3,0,0,3,1,-4,2,4,30,4,0,0,6,0,2,60,5,0,0,0,-3,-3,2,2,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
3,mpu0pmcb,,0,184,183,etfs,Adios,128.200.135.212,2019-07-26 22:29:58.395764+00:00,1,,,704,3,467,0,7,0,0,0,0,0,-7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-12,-12,-6,-6,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
4,1ote2k75,,0,184,183,etfs,Adios,128.200.135.199,2019-07-26 22:29:58.423690+00:00,1,,,686,4,396,0,2,0,5,1,0,0,-2,8,0,0,0,1,25,8,0,0,30,1,0,0,0,12,12,6,6,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
5,icnaoxjm,,0,184,183,etfs,Adios,128.200.135.201,2019-07-26 22:30:00.150649+00:00,1,,,744,5,396,60,2,0,8,4,0,0,-2,8,-3,0,0,3,20,5,0,0,0,0,0,0,0,9,9,3,3,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
6,xz3pzc3a,,0,184,183,etfs,Adios,128.200.135.208,2019-07-26 22:30:00.217345+00:00,1,,,549.5,6,418,29,4,-1,8,1,1,9,-3,6,-1,13,1,1,20,5,0,0,0,0,0,0,0,4,4,2,2,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
7,vmaitz53,,0,183,183,etfs,Adios,128.200.135.206,2019-07-26 22:30:01.347107+00:00,1,,,871.8,7,242,120,0,0,0,0,0,0,0,2,0,20,1,1,20,2,10,-2,31,2,2,20,0,4,4,2,2,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
8,p3emzs7i,,0,184,183,etfs,Adios,128.200.135.220,2019-07-26 22:30:02.063165+00:00,1,,,536,8,280,-18,0,2,10,2,0,0,-2,0,0,11,2,0,0,0,10,0,0,0,0,0,0,-2,-2,-2,-2,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
9,3fvw5hol,,0,183,183,etfs,Adios,128.200.135.214,2019-07-26 22:30:25.200293+00:00,1,,,834.5,9,261,-18,0,2,10,2,0,0,-2,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,-1,-1,1,9,20,29,9,4,-1,20,5,1,60,2,0,2,2,d8135so2
