participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,vtg5eziy,,0,184,183,etfs,Adios,128.200.135.199,2019-05-08 22:30:46.035927+00:00,1,,,565.3,1,440,0,8,0,0,0,4,15,-8,2,0,13,1,0,0,-2,0,0,22,2,0,0,0,-10,-10,-10,-10,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
2,l394u0e6,,0,184,183,etfs,Adios,128.200.135.216,2019-05-08 22:30:46.441103+00:00,1,,,629,2,440,0,8,0,8,2,1,15,-8,2,0,10,2,0,0,-2,0,0,10,2,0,0,0,-10,-10,-10,-10,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
3,7kv1lqwx,,0,183,183,etfs,Adios,128.200.135.218,2019-05-08 22:30:46.486275+00:00,1,,,577.6,3,440,-17.2,8,-2,0,0,6,9.5,-6,2,2,18.1,10,2,18.1,-4,0,0,28.1,3,0,0,0,-10,-10,-10,-10,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
4,u33yd0d0,,0,184,183,etfs,Adios,128.200.135.201,2019-05-08 22:30:47.810686+00:00,1,,,558.8,4,396,-30,2,0,0,0,1,10,-2,8,0,0,0,3,30,-8,0,1,30,3,0,0,-2,-12,-12,-12,-12,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
5,1hss14k5,,0,184,183,etfs,Adios,128.200.135.208,2019-05-08 22:30:48.162269+00:00,1,,,690.3,5,396,-19,2,2,10,2,0,0,-4,8,0,0,0,0,0,-8,0,0,20,1,0,0,0,-12,-12,-12,-12,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
6,flbrpv5x,,0,184,183,etfs,Adios,128.200.135.206,2019-05-08 22:30:48.187612+00:00,1,,,654.7,6,396,36.2,2,0,0,0,1,15,-2,8,-2,0,0,2,16.5,-6,0,0,1,22,0,0,0,-8,-8,-8,-8,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
7,djc4iw5u,,0,183,183,etfs,Adios,128.200.135.212,2019-05-08 22:30:49.062851+00:00,1,,,685.5,7,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,-20,-20,-20,-20,-20,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
8,px2cz7cd,,0,183,183,etfs,Adios,128.200.135.214,2019-05-08 22:30:50.424309+00:00,1,,,604,8,280,30,0,0,5,10,0,0,0,0,0,0,0,0,0,0,10,-1,0,0,1,30,-18,-18,-18,-18,-18,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
9,eepbbhy5,,0,184,183,etfs,Adios,128.200.135.209,2019-05-08 22:30:51.107802+00:00,1,,,633,9,280,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,-20,-20,-20,-20,-20,1,9.5,18.1,27.6,9.5,2,-1,18.1,4,-1,30,1,-2,1,1,f5x649d9
1,vtg5eziy,,0,184,183,etfs,Adios,128.200.135.199,2019-05-08 22:30:46.035927+00:00,1,,,565.3,1,440,-31,8,0,0,0,4,12,-8,2,0,19,2,0,0,2,0,1,32,1,0,0,0,-16,-16,-6,-6,1,10,20,30,10,1,-1,20,4,1,31,4,0,2,2,f5x649d9
2,l394u0e6,,0,184,183,etfs,Adios,128.200.135.216,2019-05-08 22:30:46.441103+00:00,1,,,629,2,440,-62,8,0,0,0,2,15,-8,2,0,20,2,0,0,2,0,2,32,2,0,0,0,-16,-16,-6,-6,1,10,20,30,10,1,-1,20,4,1,31,4,0,2,2,f5x649d9
3,7kv1lqwx,,0,183,183,etfs,Adios,128.200.135.218,2019-05-08 22:30:46.486275+00:00,1,,,577.6,3,422.8,0,6,0,9.9,5,0,0,-6,4,0,18.2,2,0,0,4,0,0,28.5,5,0,0,0,-12,-12,-2,-2,1,10,20,30,10,1,-1,20,4,1,31,4,0,2,2,f5x649d9
