participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,440,20,8,-2,0,0,2,10,-6,2,0,10,2,0,0,2,0,0,10,1,0,0,0,1296,0,416,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
2,pwo28ffe,0,184,183,etfs,Adios,128.200.135.212,2018-10-18 22:28:18.987517+00:00,1,,,7442,2,497,0,7,0,10,10,5,5,-7,0,0,0,0,0,4,0,0,0,5,5,0,0,0,1291,0,490,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
3,yls3cu7p,0,184,183,etfs,Adios,128.200.135.214,2018-10-18 22:28:19.928369+00:00,1,,,6565.9,3,473,20,6,-2,2,1,2,2,-4,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1319,0,450,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
4,vguqr6ow,0,184,183,etfs,Adios,128.200.135.209,2018-10-18 22:28:20.922545+00:00,1,,,6254.8,4,361,-14,3,0,7,2,1,14,-3,9,0,14,2,1,23,9,1,1,23,1,0,0,0,1203,0,381,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
5,hsqjyan4,0,184,183,etfs,Adios,128.200.135.199,2018-10-18 22:28:20.827886+00:00,1,,,5729.4,5,362,-20,2,2,12,2,0,0,-4,8,0,0,0,2,20,8,4,0,0,0,0,0,0,1202,0,386,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
6,xywi1yvc,0,184,183,etfs,Adios,128.200.135.216,2018-10-18 22:28:21.141582+00:00,1,,,3332.5,6,356,-28,2,0,0,0,0,0,-2,10,0,0,0,3,18,10,0,2,22,2,0,0,0,1222,0,392,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
7,r0ld178q,0,183,183,etfs,Adios,128.200.135.201,2018-10-18 22:28:21.216749+00:00,1,,,5583,7,273,28,0,0,5,0,0,10,0,0,0,5,0,0,12,0,10,-2,13,3,2,12,0,817,0,245,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
8,tvkxmgs8,0,183,183,etfs,Adios,128.200.135.218,2018-10-18 22:28:21.333093+00:00,1,,,7327,8,326,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,-3,2,0,3,1,0,808,0,284,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
9,n30r442n,0,184,183,etfs,Adios,128.200.135.208,2018-10-18 22:28:22.955609+00:00,1,,,3953.5,9,260,-48,2,2,10,2,0,0,-4,0,0,0,0,0,0,0,10,2,15,2,0,0,0,886,0,304,0,1,10,20,30,10,9,-1,0,0,1,14,5,0,3,3,3qygj8mp
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,460,10,6,-1,0,0,1,10,-5,2,0,10,1,0,0,2,0,0,15,1,0,0,0,1743,0,447,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
2,pwo28ffe,0,184,183,etfs,Adios,128.200.135.212,2018-10-18 22:28:18.987517+00:00,1,,,7442,2,497,0,7,0,10,5,0,5,-7,0,0,5,0,0,5,0,0,0,5,5,0,0,0,1781,0,490,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
3,yls3cu7p,0,184,183,etfs,Adios,128.200.135.214,2018-10-18 22:28:19.928369+00:00,1,,,6565.9,3,493,0,4,0,1,1,0,0,-4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1809,0,490,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
4,vguqr6ow,0,184,183,etfs,Adios,128.200.135.209,2018-10-18 22:28:20.922545+00:00,1,,,6254.8,4,347,-22,3,0,7,1,2,15,-3,9,0,0,0,2,23,9,2,1,24,1,0,0,0,1578,0,375,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
5,hsqjyan4,0,184,183,etfs,Adios,128.200.135.199,2018-10-18 22:28:20.827886+00:00,1,,,5729.4,5,342,43,4,0,0,0,0,0,-4,8,-2,0,0,2,20,6,4,0,0,0,0,0,0,1503,0,301,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
6,xywi1yvc,0,184,183,etfs,Adios,128.200.135.216,2018-10-18 22:28:21.141582+00:00,1,,,3332.5,6,328,-87,2,0,0,0,0,0,-2,10,2,28,2,0,0,12,2,2,22,3,0,0,0,1647,0,425,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
7,r0ld178q,0,183,183,etfs,Adios,128.200.135.201,2018-10-18 22:28:21.216749+00:00,1,,,5583,7,301,66,0,0,10,2,0,5,0,0,0,3,1,0,8,0,8,-3,0,3,3,12,0,1052,0,235,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
8,tvkxmgs8,0,183,183,etfs,Adios,128.200.135.218,2018-10-18 22:28:21.333093+00:00,1,,,7327,8,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1176,0,368,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
9,n30r442n,0,184,183,etfs,Adios,128.200.135.208,2018-10-18 22:28:22.955609+00:00,1,,,3953.5,9,212,-10,4,1,10,2,0,0,-5,0,0,4,5,0,0,0,12,0,12,2,0,0,0,1103,0,217,0,1,10,21.5,31.5,10,1,-1,21.5,2,1,22,3,0,4,4,3qygj8mp
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,470,0,5,0,0,0,2,10,-5,2,0,20,2,0,0,2,0,0,25,1,0,0,0,2210,0,467,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
2,pwo28ffe,0,184,183,etfs,Adios,128.200.135.212,2018-10-18 22:28:18.987517+00:00,1,,,7442,2,497,9,7,-1,10,2,3,3,-6,0,0,5,0,0,5,0,0,0,5,0,0,5,0,2263,0,482,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
3,yls3cu7p,0,184,183,etfs,Adios,128.200.135.214,2018-10-18 22:28:19.928369+00:00,1,,,6565.9,3,493,9,4,-1,1,1,1,1,-3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2291,0,482,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
4,vguqr6ow,0,184,183,etfs,Adios,128.200.135.209,2018-10-18 22:28:20.922545+00:00,1,,,6254.8,4,325,32,3,0,7,1,1,13,-3,9,0,0,0,2,22,9,3,-1,22,1,1,32,0,1877,0,299,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
5,hsqjyan4,0,184,183,etfs,Adios,128.200.135.199,2018-10-18 22:28:20.827886+00:00,1,,,5729.4,5,385,0,4,0,0,0,1,12,-4,6,0,0,0,0,0,6,4,0,0,0,0,0,0,1890,0,387,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
6,xywi1yvc,0,184,183,etfs,Adios,128.200.135.216,2018-10-18 22:28:21.141582+00:00,1,,,3332.5,6,241,-128,2,0,0,0,2,15,-2,12,0,0,0,0,0,12,4,4,32,6,0,0,0,2026,0,379,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
7,r0ld178q,0,183,183,etfs,Adios,128.200.135.201,2018-10-18 22:28:21.216749+00:00,1,,,5583,7,367,32,0,0,3,1,0,10,0,0,0,4,1,0,10,0,5,-1,10,2,1,7,0,1387,0,335,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
8,tvkxmgs8,0,183,183,etfs,Adios,128.200.135.218,2018-10-18 22:28:21.333093+00:00,1,,,7327,8,368,64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,-2,2,2,2,4,0,1480,0,304,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
9,n30r442n,0,184,183,etfs,Adios,128.200.135.208,2018-10-18 22:28:22.955609+00:00,1,,,3953.5,9,202,-18,5,2,9,3,0,0,-7,0,0,15,2,0,0,0,12,0,0,0,0,0,0,1316,0,213,0,1,9,21.5,30.5,9,4,-1,0,0,1,32,4,0,5,5,3qygj8mp
