participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,v5z3j3eb,,0,184,183,etfs2,Adios,128.200.135.201,2019-09-05 22:21:16.429610+00:00,1,,,666,1,440,84,8,-8,1,8,8,8,0,2,-2,1,8,2,6,0,0,0,,,,,0,0,0,0,0,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
2,ws2s8aac,,0,184,183,etfs2,Adios,128.200.135.199,2019-09-05 22:21:16.605202+00:00,1,,,568.5,2,440,0,8,0,1,1,0,0,-8,2,0,0,0,0,0,-2,0,0,,,,,0,-10,-10,-10,-10,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
3,fgdkovl6,,0,184,183,etfs2,Adios,128.200.135.208,2019-09-05 22:21:17.921108+00:00,1,,,584,3,440,-30,8,0,7,10,8,13,-8,2,3,10,20,0,0,-5,0,0,,,,,0,-13,-13,-13,-13,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
4,yk3f7gax,,0,184,183,etfs2,Adios,128.200.135.216,2019-09-05 22:21:18.308891+00:00,1,,,492.5,4,396,0,2,0,0,0,0,0,-2,8,0,12,2,2,6,-8,0,0,,,,,0,-10,-10,-10,-10,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
5,wxfkdv20,,0,183,183,etfs2,Adios,128.200.135.206,2019-09-05 22:21:22.404868+00:00,1,,,863,5,396,-80,2,10,8,10,2,12,-12,8,0,0,0,2,22,-8,0,0,,,,,0,-20,-20,-20,-20,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
6,i48eq1i2,,0,184,183,etfs2,Adios,128.200.135.218,2019-09-05 22:21:23.235257+00:00,1,,,693,6,396,16,2,-2,0,0,2,3,0,8,0,8.5,5,0,0,-8,0,0,,,,,0,-8,-8,-8,-8,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
7,bchl5jmk,,0,183,183,etfs2,Adios,128.200.135.220,2019-09-05 22:21:25.193705+00:00,1,,,644,7,280,-8,10,1,8,2,0,0,-11,10,0,0,0,1,20,-10,0,0,,,,,0,-21,-21,-21,-21,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
8,25bqanty,,0,184,183,etfs2,Adios,128.200.135.209,2019-09-05 22:21:25.686604+00:00,1,,,624,8,280,18,10,-1,0.5,1,1,0.75,-9,10,-1,0.01,1,1,1,-9,0,0,,,,,0,-18,-18,-18,-18,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
9,vuwos0mz,,0,184,183,etfs2,Adios,128.200.135.214,2019-09-05 22:21:37.205122+00:00,1,,,601,9,280,0,10,0,0,0,0,0,-10,10,0,0,0,0,0,-10,0,0,,,,,0,-20,-20,-20,-20,1,8,10,18,8,11,-1,10,5,-1,0,,0,1,1,j8ek3l5z
1,v5z3j3eb,,0,184,183,etfs2,Adios,128.200.135.201,2019-09-05 22:21:16.429610+00:00,1,,,666,1,524,0,0,0,8,10,0,0,0,0,0,8,10,0,0,0,0,0,,,,,0,0,0,0,0,1,10,10,20,10,4,-1,10,4,1,0,,0,2,2,j8ek3l5z
