participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,t2y9scp6,,0,184,183,etfs2,Adios,128.200.135.214,2019-04-19 21:22:02.519561+00:00,1,,,542,1,440,0,8,0,10,4,0,0,-8,2,0,15,8,0,0,2,0,0,,,,,0,-6,0,-6,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
2,hpauyt3c,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-19 21:22:03.048414+00:00,1,,,696,2,440,-20,8,2,10,6,4,15,-10,2,0,10,8,0,0,2,0,0,,,,,0,-8,0,-8,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
3,sae84m3r,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-19 21:22:03.749238+00:00,1,,,599,3,440,0,8,0,7,30,4,12,-8,2,0,12,15,2,24,2,0,0,,,,,0,-6,0,-6,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
4,0eda5p80,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-19 21:22:03.925434+00:00,1,,,754,4,396,0,2,0,8,2,0,0,-2,8,0,13,3,0,0,8,0,0,,,,,0,6,0,6,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
5,59mtwkr7,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-19 21:22:04.888224+00:00,1,,,650.5,5,396,20,2,0,0,0,0,2,-2,8,-1,1,1,1,1,7,0,0,,,,,0,5,0,5,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
6,2mbkokqe,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-19 21:22:09.378499+00:00,1,,,579.5,6,396,0,2,0,1,1,0,0,-2,8,0,1,1,1,100,8,0,0,,,,,0,6,0,6,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
7,ydwea9sd,,0,184,183,etfs2,Adios,128.200.135.209,2019-04-19 21:22:11.525268+00:00,1,,,496.5,7,280,-30,10,-1,0,0,1,5,-9,10,2,20,4,1,10,12,0,0,,,,,0,3,0,3,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
8,31tkyrvt,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-19 21:22:12.426867+00:00,1,,,671.5,8,280,30,10,-3,10,3,3,3,-7,10,0,20,3,3,3,10,0,0,,,,,0,3,0,3,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
9,r6eoen06,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-19 21:22:24.765148+00:00,1,,,681,9,280,0,10,2,15,2,3,20,-12,10,-1,10,1,1,10,9,0,0,,,,,0,-3,0,-3,0,1,10,20,30,10,4,-1,20,6,1,0,,0,1,1,jnycj0gy
1,t2y9scp6,,0,184,183,etfs2,Adios,128.200.135.214,2019-04-19 21:22:02.519561+00:00,1,,,542,1,440,-80,8,0,0,0,3,15,-8,2,4,25,4,0,0,-6,0,0,,,,,0,-20,0,-14,0,1,10,20,30,10,2,-1,20,9,-1,0,,0,2,2,jnycj0gy
