participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,s56wgrrf,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-04 22:24:43.289179+00:00,1,,,586,1,440,64,8,-8,6,50,8,8,0,2,0,0,0,0,0,-2,0,0,,,,,0,-2,0,-2,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
2,vt19uu7e,,0,184,183,etfs2,Adios,128.200.135.214,2019-04-04 22:24:57.005237+00:00,1,,,622.8,2,440,-8,8,1,8,20,8,12,9,2,0,10,20,2,20,-2,0,0,,,,,0,7,0,7,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
3,pj2spifl,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-04 22:24:57.921180+00:00,1,,,528,3,440,34,8,0,2,12,0,0,8,2,-2,0,0,2,7,0,0,0,,,,,0,8,0,8,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
4,w27f3u1b,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-04 22:24:58.611950+00:00,1,,,458.5,4,396,85,2,0,3,30,0,0,2,8,-5,4,30,5,10,-3,0,0,,,,,0,-1,0,-1,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
5,b5mqvgzg,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-04 22:24:59.830307+00:00,1,,,623.2,5,396,0,2,0,2,50,0,0,2,8,0,0,0,4,60,-8,0,0,,,,,0,-6,0,-6,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
6,7xm6i3xk,,0,184,183,etfs2,Adios,128.200.135.209,2019-04-04 22:25:01.768086+00:00,1,,,549,6,396,0,2,0,0,0,0,0,2,8,0,0,0,2,20,-8,0,0,,,,,0,-6,0,-6,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
7,cg5ei9di,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-04 22:25:03.434927+00:00,1,,,740.8,7,280,-67,10,2,12,2,0,0,12,10,3,20,3,0,0,-13,0,0,,,,,0,-1,0,-1,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
8,f8mpxcnn,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-04 22:25:04.853053+00:00,1,,,526,8,280,-108,10,5,9,5,5,11,15,10,4,17,5,5,19,-14,0,0,,,,,0,1,0,1,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
9,e9skg05c,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-04 22:25:05.198802+00:00,1,,,549.8,9,280,0,10,0,0,0,0,0,10,10,0,0,0,0,0,-10,0,0,,,,,0,0,0,0,0,1,8,17,25,8,8,1,17,7,-1,0,,0,1,1,4yu1tws4
1,s56wgrrf,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-04 22:24:43.289179+00:00,1,,,586,1,504,-119,0,0,0,0,0,0,0,2,7,17,7,0,0,9,0,0,,,,,0,7,0,9,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
2,vt19uu7e,,0,184,183,etfs2,Adios,128.200.135.214,2019-04-04 22:24:57.005237+00:00,1,,,622.8,2,432,0,9,0,8,20,9,12,-9,2,0,16,5,2,20,2,0,0,,,,,0,0,0,-7,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
3,pj2spifl,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-04 22:24:57.921180+00:00,1,,,528,3,474,0,8,0,0,0,2,12,-8,0,0,12,2,0,0,0,0,0,,,,,0,0,0,-8,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
4,w27f3u1b,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-04 22:24:58.611950+00:00,1,,,458.5,4,481,51,2,0,7,20,0,0,-2,3,-3,10,20,3,17,0,0,0,,,,,0,-3,0,-2,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
5,b5mqvgzg,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-04 22:24:59.830307+00:00,1,,,623.2,5,396,68,2,0,7,2,0,0,-2,8,-4,0,0,4,16,4,0,0,,,,,0,-4,0,2,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
6,7xm6i3xk,,0,184,183,etfs2,Adios,128.200.135.209,2019-04-04 22:25:01.768086+00:00,1,,,549,6,396,34,2,0,0,0,0,0,-2,8,-2,0,0,2,15,6,0,0,,,,,0,-2,0,4,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
7,cg5ei9di,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-04 22:25:03.434927+00:00,1,,,740.8,7,213,-17,12,0,8,1,0,0,-12,13,1,17,1,0,0,14,0,0,,,,,0,1,0,2,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
8,f8mpxcnn,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-04 22:25:04.853053+00:00,1,,,526,8,172,-17,15,0,9,5,5,11,-15,14,1,17,5,5,19,15,0,0,,,,,0,1,0,0,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
9,e9skg05c,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-04 22:25:05.198802+00:00,1,,,549.8,9,280,0,10,0,0,0,0,0,-10,10,0,15,2,0,0,10,0,0,,,,,0,0,0,0,0,1,8,17,25,0,0,-1,17,9,1,0,,0,2,2,4yu1tws4
1,s56wgrrf,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-04 22:24:43.289179+00:00,1,,,586,1,385,0,0,0,0,0,0,0,0,9,0,17,20,0,0,-9,0,0,,,,,0,-2,0,-9,0,1,9,18,27,9,7,-1,18,8,-1,0,,0,3,3,4yu1tws4
