participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,dbfomqv1,,0,184,183,etfs2,Adios,128.200.135.218,2019-05-08 20:24:55.731207+00:00,1,,,657,1,440,0,8,0,0,0,3,50,-8,2,0,2,30,0,0,2,0,0,,,,,0,-6,-6,-6,-6,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
2,bmzh5z11,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-08 20:24:56.011414+00:00,1,,,654,2,440,30,8,-3,0,0,3,2,-5,2,0,2,3,0,0,2,0,0,,,,,0,-3,-3,-3,-3,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
3,7ldk691z,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-08 20:24:56.606369+00:00,1,,,540.8,3,440,-115,8,2,16,2,0,0,-10,2,5,25,5,0,0,7,0,0,,,,,0,-3,-3,-3,-3,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
4,lfsnlxpt,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-08 20:24:57.331809+00:00,1,,,730,4,396,19,2,0,9,10,2,11,-2,8,-1,17,15,8,19,7,0,0,,,,,0,5,5,5,5,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
5,21foj0fe,,0,183,183,etfs2,Adios,128.200.135.214,2019-05-08 20:24:57.393056+00:00,1,,,741,5,396,0,2,0,2,20,0,0,-2,8,0,8,5,0,0,8,0,0,,,,,0,6,6,6,6,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
6,ui4m6q0g,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-08 20:24:58.075052+00:00,1,,,650.7,6,396,-29,2,1,20,1,1,20,-3,8,1,30,2,1,15,9,0,0,,,,,0,6,6,6,6,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
7,40o2cag1,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-08 20:24:58.587549+00:00,1,,,522.7,7,280,85,10,1,10,5,10,20,-11,10,-5,5,5,5,5,5,0,0,,,,,0,-6,-6,-6,-6,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
8,tiu8bvj6,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-08 20:24:59.936716+00:00,1,,,477.8,8,280,10,10,-1,0,0,1,10,-9,10,0,10,1,0,0,10,0,0,,,,,0,1,1,1,1,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
9,5sxunbvb,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-08 20:25:00.607817+00:00,1,,,666.2,9,280,0,10,0,0,0,0,0,-10,10,0,0,0,0,0,10,0,0,,,,,0,0,0,0,0,1,10,19,29,10,4,-1,19,7,1,0,,0,1,1,7digmq7m
1,dbfomqv1,,0,184,183,etfs2,Adios,128.200.135.218,2019-05-08 20:24:55.731207+00:00,1,,,657,1,440,50,8,-5,0,0,5,10,3,2,0,3,20,0,0,2,0,0,,,,,0,-1,-1,5,5,1,10,19,29,10,15,1,19,8,1,0,,0,2,2,7digmq7m
2,bmzh5z11,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-08 20:24:56.011414+00:00,1,,,654,2,470,0,5,0,0,0,0,0,5,2,0,10,3,0,0,2,0,0,,,,,0,4,4,7,7,1,10,19,29,10,15,1,19,8,1,0,,0,2,2,7digmq7m
3,7ldk691z,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-08 20:24:56.606369+00:00,1,,,540.8,3,325,0,10,0,8,2,0,0,10,7,0,12,3,0,0,7,0,0,,,,,0,14,14,17,17,1,10,19,29,10,15,1,19,8,1,0,,0,2,2,7digmq7m
4,lfsnlxpt,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-08 20:24:57.331809+00:00,1,,,730,4,415,-92,2,13,10,15,2,11,15,7,-2,17,15,7,19,5,0,0,,,,,0,25,25,20,20,1,10,19,29,10,15,1,19,8,1,0,,0,2,2,7digmq7m
5,21foj0fe,,0,183,183,etfs2,Adios,128.200.135.214,2019-05-08 20:24:57.393056+00:00,1,,,741,5,396,-76,2,0,10,8,0,0,2,8,4,19,4,0,0,12,0,0,,,,,0,20,20,14,14,1,10,19,29,10,15,1,19,8,1,0,,0,2,2,7digmq7m
