participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,440,-265.5,8,9,12,9,0,0,-17,2,9,18,15,0,0,11,0,0,,,,,0,6,0,-6,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,410,-13,8,-2,0,0,2,11,-6,4,2,20,2,0,0,6,0,0,,,,,0,8,0,0,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,444,34.5,9,-3,11,2,3,10,-6,1,0,10,2,0,0,1,0,0,,,,,0,9,0,-5,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,241,0,5,0,10,5,0,0,-5,16,0,16,5,10,200,16,0,0,,,,,0,-6,0,11,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,458,54,2,0,8,3,0,0,-2,4,-3,10,2,3,17,1,0,0,,,,,0,-7,0,-1,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,453,18,1,0,0,0,1,15,-1,5,-1,0,0,1,16,4,0,0,,,,,0,-7,0,3,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,342,41,7,-2,2,3,2,1,-5,8,-1,1,2,1,1,7,0,0,,,,,0,1,0,2,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,280,131,10,-2,10,5,2,10.75,-8,10,-6,14,5,6,17,4,0,0,,,,,0,-4,0,-4,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,280,0,10,0,11,1,0,0,-10,10,0,16,1,0,0,10,0,0,,,,,0,0,0,0,0,1,11.5,18,29.5,11.5,9,-1,18,11,1,0,,0,3,3,odwd4238
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,174.5,-160,17,0,0,0,0,0,-17,11,8,20,8,0,0,19,0,0,,,,,0,8,0,2,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,397,-16,6,-2,0,0,2,12,-4,6,2,20,2,0,0,8,0,0,,,,,0,12,0,4,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,478.5,32,6,-1,12,2,2,12,-5,1,-1,18,2,1,18,0,0,0,,,,,0,4,0,-5,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,241,20,5,5,15,5,0,0,-10,16,-4,20,5,10,20,12,0,0,,,,,0,-4,0,2,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,512,0,2,0,10,1,0,0,-2,1,0,0,0,1,25,1,0,0,,,,,0,-8,0,-1,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,471,32,1,-1,0,0,1,11,0,4,-1,0,0,1,18,3,0,0,,,,,0,-4,0,3,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,383,44,5,-2,3,6,2,1,-3,7,-1,0,0,1,1,6,0,0,,,,,0,4,0,3,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,411,8,8,1,33,2,1,9,-9,4,-1,36,2,3,17,3,0,0,,,,,0,-10,0,-6,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,280,40,10,0,12,1,1,12,-10,10,-2,0,0,2,17.5,8,0,0,,,,,0,-2,0,-2,0,1,12,20,32,12,9,-1,20,17,1,0,,0,4,4,odwd4238
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,14.5,0,17,0,0,0,0,0,-17,19,0,0,0,0,0,19,0,0,,,,,0,10,0,2,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,381,-4,4,-1,0,0,1,13,-3,8,1,22,1,0,0,9,0,0,,,,,0,18,0,6,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,510.5,-22,5,-1,12,2,1,13,-4,0,2,19,2,0,0,2,0,0,,,,,0,2,0,-2,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,261,108,10,0,0,0,0,0,-10,12,-6,0,0,12,18,6,0,0,,,,,0,-8,0,-4,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,512,0,2,0,0,0,0,0,-2,1,0,0,0,0,0,1,0,0,,,,,0,-9,0,-1,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,503,-90,0,0,12.5,5,0,0,0,3,5,21,5,0,0,8,0,0,,,,,0,4,0,8,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,427,54,3,0,10,6,0,0,-3,6,-3,10,2,3,15,3,0,0,,,,,0,4,0,0,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,419,-4,9,-1,10,2,1,10,-8,3,1,18,1,0,0,4,0,0,,,,,0,-14,0,-4,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,320,-42,10,3,14,4,0,0,-13,8,0,0,0,2,20,8,0,0,,,,,0,-7,0,-5,0,1,14,18,32,14,3,-1,18,9,1,0,,0,5,5,odwd4238
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,14.5,0,17,0,0,0,5,20,17,19,0,0,0,5,25,-19,0,0,,,,,0,8,0,-2,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,377,0,3,0,0,0,1,15,3,9,0,15,1,0,0,-9,0,0,,,,,0,12,0,-6,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,488.5,6,4,1,14,1,2,15.5,5,2,-1,18,1,1,19,-1,0,0,,,,,0,6,0,4,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,369,-60,10,0,0,0,5,19,10,6,3,20,10,0,0,-9,0,0,,,,,0,-7,0,1,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,512,0,2,0,0,0,1,18,2,1,0,0,0,0,0,-1,0,0,,,,,0,-8,0,1,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,413,-14,0,1,14,5,0,0,1,8,0,19,5,0,0,-8,0,0,,,,,0,-3,0,-7,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,481,68,3,-2,0,0,2,12,1,3,-2,0,0,2,8,-1,0,0,,,,,0,4,0,0,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,415,0,8,0,0,0,0,0,8,4,0,0,0,0,0,-4,0,0,,,,,0,-10,0,4,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,278,0,13,0,0,0,2,19,13,8,0,0,0,0,0,-8,0,0,,,,,0,-2,0,5,0,1,14,20,34,14,2,1,20,3,-1,0,,0,6,6,odwd4238
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,14.5,0,17,0,0,0,5,20,-17,19,0,0,0,5,30,19,0,0,,,,,0,10,0,2,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,377,15,3,-1,0,0,1,15,-2,9,0,20,1,0,0,9,0,0,,,,,0,19,0,7,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,494.5,-11,5,-2,15,1,3,13,-3,1,2,21,2,0,0,3,0,0,,,,,0,6,0,0,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,309,123,10,0,13.5,10,8,18,-10,9,-6,18,6,6,20,3,0,0,,,,,0,-14,0,-7,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,512,0,2,0,0,0,1,16,-2,1,0,0,0,1,25,1,0,0,,,,,0,-9,0,-1,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,399,-15,1,1,15,5,0,0,-2,8,0,15,5,0,0,8,0,0,,,,,0,3,0,6,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,549,-123,1,0,15,10,0,0,-1,1,6,21,6,0,0,7,0,0,,,,,0,10,0,6,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,415,-30,8,2,19,2,2,16,-10,4,0,0,0,0,0,4,0,0,,,,,0,-16,0,-6,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,278,41,13,0,14.01,3,0,0,-13,8,-2,0,0,2,19.99,6,0,0,,,,,0,-9,0,-7,0,1,15,20.5,35.5,15,4,-1,20.5,8,1,0,,0,7,7,odwd4238
