participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,120,67,12,-2,10,2,2,10,-10,12,-2,20,4,2,20,10,0,0,,,,,0,-6,0,0,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,395,0,0,0,0,0,0,0,0,7,0,20,17,0,0,7,0,0,,,,,0,15,0,7,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,500,0,2,0,10,4,2,12,-2,2,0,20,3,1,25,2,0,0,,,,,0,6,0,0,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,326,-45,5,0,11,3,1,15,-5,10,2,30,2,1,35,12,0,0,,,,,0,3,0,7,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,296,-33,12,3,11,5,0,0,-15,8,0,20,2,0,0,8,0,0,,,,,0,-3,0,-7,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,421,45,5,0,10,1,0,0,-5,6,-2,0,0,2,20,4,0,0,,,,,0,-8,0,-1,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,440,-34,7,-1,10,2,1,10,-6,5,2,50,3,1,5,7,0,0,,,,,0,-1,0,1,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,530,0,7,0,9,10,4,14,-7,2,0,15,10,2,25,2,0,0,,,,,0,-4,0,-5,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
9,o6xznfar,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-30 21:21:21.173466+00:00,1,,,621,9,320,0,10,0,10,2,0,0,-10,8,0,10,2,0,0,8,0,0,,,,,0,-2,0,-2,0,1,11,22.5,33.5,11,3,-1,22.5,5,1,0,,0,4,4,pnbcdmga,,,,,,1
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,187,175,10,-4,11,3,4,10,-6,10,-3,23,5,3,25,7,0,0,,,,,0,-5,0,1,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,395,0,0,0,0,0,0,0,0,7,0,25,15,0,0,7,0,0,,,,,0,22,0,7,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,500,-50,2,0,12,4,0,0,-2,2,2,25,3,0,0,4,0,0,,,,,0,8,0,2,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,281,-50,5,-1,11,2,1,12,-4,12,3,31,3,1,35,15,0,0,,,,,0,14,0,11,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,263,0,15,0,11.5,5,0,0,-15,8,0,20.5,2,0,0,8,0,0,,,,,0,-10,0,-7,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,466,0,5,0,0,0,0,0,-5,4,0,18,1,0,0,4,0,0,,,,,0,-9,0,-1,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,406,-150,6,4,50,4,1,50,-10,7,2,50,2,1,30,9,0,0,,,,,0,-2,0,-1,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,530,150,7,-4,10,2,7,25,-3,2,-2,12,2,2,25,0,0,0,,,,,0,-7,0,-3,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
9,o6xznfar,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-30 21:21:21.173466+00:00,1,,,621,9,320,-75,10,5,30,5,0,0,-15,8,-2,0,0,2,25,6,0,0,,,,,0,-11,0,-9,0,1,25,25,50,25,9,-1,25,7,1,0,,0,5,5,pnbcdmga,,,,,,1
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,362,-150,6,5,30,5,0,0,-11,7,0,30,2,0,0,7,0,0,,,,,0,-9,0,-4,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,395,0,0,0,0,0,0,0,0,7,0,30,13,0,0,7,0,0,,,,,0,29,0,7,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,450,93,2,0,25,2,2,30,-2,4,-3,0,0,3,27,1,0,0,,,,,0,7,0,-1,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,231,-31,4,0,11,5,0,0,-4,15,1,31,5,2,35,16,0,0,,,,,0,26,0,12,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,263,0,15,0,10,5,5,30,-15,8,0,20,2,0,0,8,0,0,,,,,0,-17,0,-7,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,466,61,5,-1,0,0,1,25,-4,4,-1,20,1,1,20,3,0,0,,,,,0,-10,0,-1,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,256,-93,10,0,20,3,3,30,-10,9,3,40,3,3,50,12,0,0,,,,,0,0,0,2,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,680,0,3,0,15,3,3,30,-3,0,0,10,2,0,15,0,0,0,,,,,0,-10,0,-3,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
9,o6xznfar,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-30 21:21:21.173466+00:00,1,,,621,9,245,120,15,-4,0,0,4,30,-11,6,0,0,0,0,0,6,0,0,,,,,0,-16,0,-5,0,1,30,31,61,30,5,-1,31,4,1,0,,0,6,6,pnbcdmga,,,,,,1
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,212,45,11,0,30,6,0,0,-11,7,-1,0,0,1,35,6,0,0,,,,,0,-14,0,-5,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,395,-270,0,0,0,0,0,0,0,7,6,60,6,0,0,13,0,0,,,,,0,42,0,13,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,543,-91.5,2,3,31,3,2,40,-5,1,0,30,3,0,0,1,0,0,,,,,0,3,0,-4,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,200,180,4,0,5,15,0,0,-4,16,-4,0,0,4,35,12,0,0,,,,,0,34,0,8,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
