participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,299.5,-40,10,0,9,10,0,0,-10,10,2,20,10,0,0,12,0,0,,,,,0,0,0,2,2,1,15,20,35,15,4,-1,20,7,1,0,,0,3,3,l60a9yvg,,,,,,1
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,440,-50,8,0,0,0,0,0,-8,2,2,28,2,0,0,4,0,0,,,,,0,-10,-10,-4,-4,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,505,0,6,0,5,10,0,0,-6,0,0,15,5,0,0,0,0,0,,,,,0,-12,-12,-6,-6,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
3,nuwqm5dq,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-01 20:25:34.922010+00:00,1,,,704,3,322,80,8,-4,0,0,4,20,-4,6,0,15,2,0,0,6,0,0,,,,,0,0,0,2,2,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
4,b53tarpq,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-01 20:25:35.051203+00:00,1,,,440,4,221,0,0,0,16,1,0,0,0,13,0,17,5,5,30,13,0,0,,,,,0,24,24,13,13,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
5,32aoo3sd,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-01 20:25:36.159887+00:00,1,,,597.5,5,439.5,-40,6,2,20,3,1,10,-8,4,0,25,3,1,5,4,0,0,,,,,0,-4,-4,-4,-4,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
6,z5gaz9i2,,0,184,183,etfs2,Adios,128.200.135.214,2019-05-01 20:25:36.645351+00:00,1,,,781.5,6,325.5,0,9,0,0,0,0,0,-9,10,0,0,0,0,0,10,0,0,,,,,0,4,4,1,1,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
7,3btpnx53,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-01 20:25:38.101479+00:00,1,,,417.5,7,442.5,-40,5,2,20,3,0,0,-7,5,0,20,3,0,0,5,0,0,,,,,0,-2,-2,-2,-2,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
8,xz7jogl2,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-01 20:25:38.235252+00:00,1,,,413,8,393,0,8,0,0,0,0,0,-8,8,0,0,0,0,0,8,0,0,,,,,0,0,0,0,0,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,259.5,50,10,0,12,5,0,0,-10,12,-2,18,5,2,23,10,0,0,,,,,0,0,0,0,0,1,20,25,45,20,5,-1,25,3,1,0,,0,4,4,l60a9yvg,,,,,,1
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,390,75,8,-3,0,0,3,25,5,4,0,26,4,0,0,-4,0,0,,,,,0,-9,-9,1,1,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,505,75,6,-3,10,10,3,25,3,0,0,10,10,0,0,0,0,0,,,,,0,-9,-9,3,3,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
3,nuwqm5dq,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-01 20:25:34.922010+00:00,1,,,704,3,402,90,4,0,20,3,0,0,4,6,-3,0,0,3,25,-3,0,0,,,,,0,1,1,1,1,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
4,b53tarpq,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-01 20:25:35.051203+00:00,1,,,440,4,221,0,0,0,22,1,0,0,0,13,0,25,5,5,35,-13,0,0,,,,,0,11,11,-13,-13,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
5,32aoo3sd,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-01 20:25:36.159887+00:00,1,,,597.5,5,399.5,-215,8,5,35,5,0,0,13,4,3,40,3,0,0,-7,0,0,,,,,0,2,2,6,6,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
6,z5gaz9i2,,0,184,183,etfs2,Adios,128.200.135.214,2019-05-01 20:25:36.645351+00:00,1,,,781.5,6,325.5,100,9,-4,0,0,4,20,5,10,0,20,5,0,0,-10,0,0,,,,,0,-1,-1,-5,-5,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
7,3btpnx53,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-01 20:25:38.101479+00:00,1,,,417.5,7,402.5,-115,7,1,25,3,0,0,8,5,3,30,4,0,0,-8,0,0,,,,,0,-2,-2,0,0,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
8,xz7jogl2,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-01 20:25:38.235252+00:00,1,,,413,8,393,-150,8,6,25,6,0,0,14,8,0,0,0,0,0,-8,0,0,,,,,0,6,6,6,6,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
