participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,fa60giax,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-20 21:19:26.309222+00:00,1,,,586,1,440,30,8,-1,10,1,1,10,-7,2,-1,10,1,1,10,1,0,0,,,,,0,-6,-6,-6,-6,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
2,i3rbxb92,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-20 21:19:26.539802+00:00,1,,,554.5,2,440,45,8,-2,5,2,2,4,-6,2,-1,5,2,1,4,1,0,0,,,,,0,-5,-5,-5,-5,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
3,jap3dlok,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-20 21:19:26.866715+00:00,1,,,557,3,440,30,8,0,0,0,0,0,-8,2,-2,0,0,2,1,0,0,0,,,,,0,-8,-8,-8,-8,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
4,90rav3se,,0,184,183,etfs2,Adios,128.200.135.214,2018-11-20 21:19:27.688082+00:00,1,,,546.5,4,396,45,2,0,0,0,0,0,-2,8,-3,0,0,3,15,5,0,0,,,,,0,3,3,3,3,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
5,l82r9qio,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-20 21:19:27.815337+00:00,1,,,611,5,396,0,2,0,1,1,0,1,-2,8,0,1,1,0,1,8,0,0,,,,,0,6,6,6,6,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
6,tahi8fye,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-20 21:19:28.903690+00:00,1,,,440.5,6,396,0,2,0,0,0,0,0,-2,8,0,0,0,0,0,8,0,0,,,,,0,6,6,6,6,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
7,8pgfljl9,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-20 21:19:29.811126+00:00,1,,,870.5,7,280,0,10,-4,0,0,5,15,-6,10,4,15,10,0,0,14,0,0,,,,,0,8,8,8,8,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
8,bhjbhlc2,,0,184,183,etfs2,Adios,128.200.135.199,2018-11-20 21:19:32.253212+00:00,1,,,676.5,8,280,30,10,-1,10,1,1,9,-9,10,-1,10,1,1,9,9,0,0,,,,,0,0,0,0,0,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
9,etl5at8q,,0,184,183,etfs2,Adios,128.200.135.201,2018-11-20 21:19:40.930516+00:00,1,,,455.5,9,280,-180,10,8,25,8,8,30,-18,10,4,20,4,5,25,14,0,0,,,,,0,-4,-4,-4,-4,1,15,15,30,15,8,-1,15,8,1,0,,0,1,1,2ewsl8vx,,,,,,0
1,fa60giax,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-20 21:19:26.309222+00:00,1,,,586,1,470,0,7,0,10,1,0,0,-7,1,0,10,1,0,0,1,0,0,,,,,0,-12,-12,-6,-6,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
2,i3rbxb92,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-20 21:19:26.539802+00:00,1,,,554.5,2,485,0,6,0,1,0,0,1,-6,1,0,1,0,0,1,1,0,0,,,,,0,-10,-10,-5,-5,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
3,jap3dlok,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-20 21:19:26.866715+00:00,1,,,557,3,470,0,8,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,,,,,0,-16,-16,-8,-8,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
4,90rav3se,,0,184,183,etfs2,Adios,128.200.135.214,2018-11-20 21:19:27.688082+00:00,1,,,546.5,4,441,0,2,0,10,2,0,0,-2,5,0,0,0,0,0,5,0,0,,,,,0,6,6,3,3,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
5,l82r9qio,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-20 21:19:27.815337+00:00,1,,,611,5,396,27,2,-1,1,1,1,1,-1,8,-1,1,1,1,1,7,0,0,,,,,0,12,12,6,6,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
6,tahi8fye,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-20 21:19:28.903690+00:00,1,,,440.5,6,396,0,2,0,7,50,0,0,-2,8,0,0,0,8,22,8,0,0,,,,,0,12,12,6,6,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
7,8pgfljl9,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-20 21:19:29.811126+00:00,1,,,870.5,7,280,-48,6,0,0,0,6,18,-6,14,3,16,5,0,0,17,0,0,,,,,0,19,19,11,11,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
8,bhjbhlc2,,0,184,183,etfs2,Adios,128.200.135.199,2018-11-20 21:19:32.253212+00:00,1,,,676.5,8,310,21,9,1,12,1,2,13,-10,9,-2,12,1,2,13,7,0,0,,,,,0,-3,-3,-3,-3,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
9,etl5at8q,,0,184,183,etfs2,Adios,128.200.135.201,2018-11-20 21:19:40.930516+00:00,1,,,455.5,9,100,0,18,0,10,4,10,35,-18,14,0,10,2,10,30,14,0,0,,,,,0,-8,-8,-4,-4,1,11,16,27,11,1,-1,16,3,1,0,,0,2,2,2ewsl8vx,,,,,,0
