participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,vzha90ch,,0,184,183,etfs,Adios,128.200.135.206,2018-12-07 21:25:23.705623+00:00,1,,,667,1,440,20,8,-2,9,1,2,10,-6,2,0,0,0,0,0,2,0,0,15,4,0,0,0,-4,0,-4,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
2,iapdtiln,,0,184,183,etfs,Adios,128.200.135.214,2018-12-07 21:25:27.466000+00:00,1,,,523,2,440,20,8,-2,0,0,2,10,-6,2,0,0,0,0,0,2,0,0,1,2,0,0,0,-4,0,-4,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
3,3ghhx4uo,,0,184,183,etfs,Adios,128.200.135.218,2018-12-07 21:25:27.466997+00:00,1,,,518,3,440,-155,8,0,0,0,3,15,-8,2,4,30,4,0,0,6,0,1,35,2,0,0,0,-2,0,-2,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
4,pgvesq8a,,0,184,183,etfs,Adios,128.200.135.208,2018-12-07 21:25:27.915371+00:00,1,,,654,4,396,0,2,0,0,0,0,0,-2,8,0,0,0,0,0,8,0,0,2,2,0,0,0,6,0,6,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
5,k6i1mfqz,,0,184,183,etfs,Adios,128.200.135.216,2018-12-07 21:25:28.812126+00:00,1,,,749.5,5,396,-20,2,2,20,2,0,0,-4,8,0,0,0,0,0,8,0,0,20,5,0,0,0,4,0,4,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
6,9jdfepju,,0,184,183,etfs,Adios,128.200.135.199,2018-12-07 21:25:29.043112+00:00,1,,,666,6,396,130,2,-1,1,1,1,1,-1,8,-4,4,4,4,4,4,0,0,0,0,0,0,0,3,0,3,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
7,gyw34a8k,,0,184,183,etfs,Adios,128.200.135.209,2018-12-07 21:25:29.519307+00:00,1,,,554.5,7,280,35,0,0,9,3,0,0,0,0,0,9,3,0,0,0,10,-1,19,1,1,22,0,0,0,0,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
8,gilhmf59,,0,183,183,etfs,Adios,128.200.135.212,2018-12-07 21:25:30.823128+00:00,1,,,713,8,280,-20,0,2,20,2,0,0,-2,0,0,30,2,0,0,0,10,0,0,0,0,0,0,-2,0,-2,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
9,99wahnj9,,0,184,183,etfs,Adios,128.200.135.201,2018-12-07 21:25:31.157672+00:00,1,,,607,9,280,-10,0,1,10,1,0,10,-1,0,0,5,2,0,10,0,10,0,5,0,0,5,0,-1,0,-1,0,1,10,30,40,10,5,-1,30,4,1,35,1,0,1,1,vh967hka
1,vzha90ch,,0,184,183,etfs,Adios,128.200.135.206,2018-12-07 21:25:23.705623+00:00,1,,,667,1,460,35,6,0,0,0,0,0,6,2,-1,0,0,1,25,-1,0,0,25,1,0,0,0,1,0,5,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
2,iapdtiln,,0,184,183,etfs,Adios,128.200.135.214,2018-12-07 21:25:27.466000+00:00,1,,,523,2,460,0,6,0,0,0,2,15,6,2,0,10,1,0,0,-2,0,0,10,2,0,0,0,0,0,4,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
3,3ghhx4uo,,0,184,183,etfs,Adios,128.200.135.218,2018-12-07 21:25:27.466997+00:00,1,,,518,3,285,-30,8,-4,0,0,4,9,4,6,0,20,2,0,0,-6,1,2,35,2,0,0,0,-4,0,-2,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
4,pgvesq8a,,0,184,183,etfs,Adios,128.200.135.208,2018-12-07 21:25:27.915371+00:00,1,,,654,4,396,0,2,0,0,0,0,0,2,8,-2,0,0,2,30,-6,0,2,35,2,0,0,0,2,0,-4,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
5,k6i1mfqz,,0,184,183,etfs,Adios,128.200.135.216,2018-12-07 21:25:28.812126+00:00,1,,,749.5,5,376,0,4,0,10,5,0,0,4,8,0,0,0,0,0,-8,0,0,20,10,0,0,0,0,0,-4,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
6,9jdfepju,,0,184,183,etfs,Adios,128.200.135.199,2018-12-07 21:25:29.043112+00:00,1,,,666,6,526,-145,1,4,20,5,1,1,5,4,3,40,4,1,1,-7,0,0,0,0,0,0,0,1,0,-2,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
7,gyw34a8k,,0,184,183,etfs,Adios,128.200.135.209,2018-12-07 21:25:29.519307+00:00,1,,,554.5,7,315,35,0,0,9,1,0,0,0,0,0,9,1,0,0,0,9,-1,25,1,1,35,0,0,0,0,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
8,gilhmf59,,0,183,183,etfs,Adios,128.200.135.212,2018-12-07 21:25:30.823128+00:00,1,,,713,8,260,0,2,0,0,0,0,0,2,0,0,25,2,0,0,0,10,0,0,0,1,40,0,0,0,2,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
9,99wahnj9,,0,184,183,etfs,Adios,128.200.135.201,2018-12-07 21:25:31.157672+00:00,1,,,607,9,270,105,1,0,10,1,1,9,1,0,0,10,1,0,30,0,10,-3,30,1,3,30,0,0,0,1,0,1,10,35,45,10,6,1,35,4,-1,35,4,0,2,2,vh967hka
