participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,xsqmkbgo,,0,184,183,etfs,Adios,128.200.135.218,2019-05-28 22:31:52.573243+00:00,1,,,735.5,1,440,-85,8,2,35,2,1,30,10,2,1,50,1,2,40,-3,0,2,60,2,0,0,0,7,7,7,7,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
2,g998nxj2,,0,184,183,etfs,Adios,128.200.135.199,2019-05-28 22:31:53.042307+00:00,1,,,530,2,440,0,8,0,0,0,2,20,8,2,0,0,0,0,0,-2,0,0,0,0,0,0,0,6,6,6,6,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
3,3r6vrloa,,0,184,183,etfs,Adios,128.200.135.201,2019-05-28 22:31:54.442996+00:00,1,,,791.5,3,440,10,8,-1,0,0,2,10,7,2,0,1,10,0,0,-2,0,0,1,15,0,0,0,5,5,5,5,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
4,vbs8hkfb,,0,184,183,etfs,Adios,128.200.135.212,2019-05-28 22:31:56.493769+00:00,1,,,612,4,396,30,2,-2,0,0,2,10,0,8,-1,0,0,8,10,-7,0,0,10,20,0,0,0,-7,-7,-7,-7,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
5,bmcsjgnh,,0,184,183,etfs,Adios,128.200.135.208,2019-05-28 22:31:57.571354+00:00,1,,,459,5,396,-10,2,1,10,1,1,20,3,8,0,0,0,0,0,-8,0,0,0,0,0,0,0,-5,-5,-5,-5,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
6,2cesyrzb,,0,184,183,etfs,Adios,128.200.135.214,2019-05-28 22:31:57.831331+00:00,1,,,493,6,396,-55,2,0,0,0,0,0,2,8,0,0,0,3,20,-8,0,2,30,2,0,0,0,-6,-6,-6,-6,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
7,92qqs58d,,0,183,183,etfs,Adios,128.200.135.216,2019-05-28 22:31:58.065156+00:00,1,,,653,7,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
8,jsm202xt,,0,184,183,etfs,Adios,128.200.135.209,2019-05-28 22:31:58.345105+00:00,1,,,622.5,8,280,110,0,0,9,2,0,0,0,0,0,9,2,0,0,0,10,-4,0,0,4,25,0,0,0,0,0,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
9,euv8hxgi,,0,184,183,etfs,Adios,128.200.135.205,2019-05-28 22:33:53.397186+00:00,1,,,545.5,9,280,0,0,0,1,2,0,2,0,0,0,3,4,0,3,0,10,0,0,6,0,5,0,0,0,0,0,1,10,10,20,10,3,1,10,1,-1,27.5,4,0,1,1,228b74pm
1,xsqmkbgo,,0,184,183,etfs,Adios,128.200.135.218,2019-05-28 22:31:52.573243+00:00,1,,,735.5,1,355,-72.5,10,2,12,4,3,20,-12,3,2,15,2,1,25,5,2,1,40,1,2,30,0,0,0,-7,-7,1,12,10,22,12,4,-1,10,11,1,28.5,1,0,2,2,228b74pm
2,g998nxj2,,0,184,183,etfs,Adios,128.200.135.199,2019-05-28 22:31:53.042307+00:00,1,,,530,2,440,0,8,0,0,0,4,40,-8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-6,-6,1,12,10,22,12,4,-1,10,11,1,28.5,1,0,2,2,228b74pm
3,3r6vrloa,,0,184,183,etfs,Adios,128.200.135.201,2019-05-28 22:31:54.442996+00:00,1,,,791.5,3,450,16,7,-3,0,0,3,10,-4,2,2,20,2,0,0,4,0,0,27,1,0,0,0,5,5,0,0,1,12,10,22,12,4,-1,10,11,1,28.5,1,0,2,2,228b74pm
4,vbs8hkfb,,0,184,183,etfs,Adios,128.200.135.212,2019-05-28 22:31:56.493769+00:00,1,,,612,4,426,70,0,0,0,0,0,0,0,7,-7,0,0,7,10,0,0,0,0,0,0,0,0,-7,-7,0,0,1,12,10,22,12,4,-1,10,11,1,28.5,1,0,2,2,228b74pm
5,bmcsjgnh,,0,184,183,etfs,Adios,128.200.135.208,2019-05-28 22:31:57.571354+00:00,1,,,459,5,386,-62,3,1,20,2,1,10,-4,8,5,50,5,1,20,13,0,0,0,0,0,0,0,4,4,9,9,1,12,10,22,12,4,-1,10,11,1,28.5,1,0,2,2,228b74pm
