participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
2,n0wkni47,0,183,183,etfs,Adios,128.200.135.208,2018-10-24 20:23:04.137892+00:00,1,,,652.9,2,276,-123,6,-2,0,0,2,20,-4,2,2,38,2,0,0,4,4,2,58,2,0,0,0,14,14,0,0,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
3,0hcfd9ib,0,183,183,etfs,Adios,128.200.135.201,2018-10-24 20:23:04.086929+00:00,1,,,434.9,3,471,0,8,0,0,0,8,35,-8,1,0,25,5,1,50,1,0,0,30,4,0,0,0,12,12,-7,-7,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
4,l3xbnn7g,0,184,183,etfs,Adios,128.200.135.206,2018-10-24 20:23:05.465932+00:00,1,,,728.7,4,306,0,0,0,0,0,0,0,0,12,0,0,0,4,35,12,0,0,0,0,0,0,0,-14,-14,12,12,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
5,ih5zksdd,0,183,183,etfs,Adios,128.200.135.209,2018-10-24 20:23:05.463967+00:00,1,,,705.1,5,242,65,4,0,0,0,0,0,-4,8,-2,0,0,2,30,6,2,0,50,2,0,0,0,-14,-14,2,2,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
6,1bjrkr2b,0,184,183,etfs,Adios,128.200.135.212,2018-10-24 20:23:06.293803+00:00,1,,,726,6,516,0,2,0,0,0,0,0,-2,5,0,0,0,4,40,5,0,0,0,0,0,0,0,-12,-12,3,3,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
7,xlafzq6t,0,184,183,etfs,Adios,128.200.135.216,2018-10-24 20:23:08.102184+00:00,1,,,667.3,7,525,162,2,0,20,3,0,0,-2,0,0,25,4,0,0,0,5,-3,0,0,3,50,0,0,0,-2,-2,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
8,h6pgmbw9,0,184,183,etfs,Adios,128.200.135.218,2018-10-24 20:23:08.845384+00:00,1,,,926.1,8,223,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,58,1,1,59,0,0,0,0,0,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
9,ck0yqaql,0,184,183,etfs,Adios,128.200.135.199,2018-10-24 20:23:08.956154+00:00,1,,,495,9,637,0,0,0,25,5,0,0,0,0,0,30,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,25,32.5,57.5,25,2,-1,32.5,2,1,54,3,0,4,4,clpcm192
1,avnydzjr,0,184,183,etfs,Adios,128.200.135.214,2018-10-24 20:23:03.485505+00:00,1,,,493,1,102,165,10,0,25,3,0,0,-10,2,0,0,0,0,0,2,4,-3,0,0,3,50,0,6,6,-8,-8,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
2,n0wkni47,0,183,183,etfs,Adios,128.200.135.208,2018-10-24 20:23:04.137892+00:00,1,,,652.9,2,153,-110,4,0,0,0,2,27,-4,4,0,0,0,0,0,4,6,2,55,2,0,0,0,14,14,0,0,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
3,0hcfd9ib,0,183,183,etfs,Adios,128.200.135.201,2018-10-24 20:23:04.086929+00:00,1,,,434.9,3,471,93,8,-6,0,0,6,24,-2,1,2,33,2,1,45,3,0,0,0,0,0,0,0,13,13,1,1,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
4,l3xbnn7g,0,184,183,etfs,Adios,128.200.135.206,2018-10-24 20:23:05.465932+00:00,1,,,728.7,4,306,165,0,0,0,0,0,0,0,12,-5,0,0,5,27,7,0,0,0,0,0,0,0,-7,-7,7,7,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
5,ih5zksdd,0,183,183,etfs,Adios,128.200.135.209,2018-10-24 20:23:05.463967+00:00,1,,,705.1,5,307,-110,4,0,15,1,0,0,-4,6,0,0,0,2,35,6,2,2,56,2,0,0,0,-12,-12,2,2,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
6,1bjrkr2b,0,184,183,etfs,Adios,128.200.135.212,2018-10-24 20:23:06.293803+00:00,1,,,726,6,516,0,2,0,0,0,0,0,-2,5,0,0,0,5,45,5,0,0,0,0,0,0,0,-9,-9,3,3,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
7,xlafzq6t,0,184,183,etfs,Adios,128.200.135.216,2018-10-24 20:23:08.102184+00:00,1,,,667.3,7,687,0,2,0,26,4,0,0,-2,0,0,30,4,0,0,0,2,0,0,0,0,0,0,-2,-2,-2,-2,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
8,h6pgmbw9,0,184,183,etfs,Adios,128.200.135.218,2018-10-24 20:23:08.845384+00:00,1,,,926.1,8,169,55,0,0,0,0,0,0,0,0,0,25,1,0,0,0,12,-1,0,0,1,55,0,0,0,0,0,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
9,ck0yqaql,0,184,183,etfs,Adios,128.200.135.199,2018-10-24 20:23:08.956154+00:00,1,,,495,9,637,-258,0,6,30,6,0,0,-6,0,3,33,7,0,0,3,4,0,0,0,0,0,0,-3,-3,-3,-3,1,26.5,33,59.5,26.5,6,-1,33,5,1,55,4,0,5,5,clpcm192
1,avnydzjr,0,184,183,etfs,Adios,128.200.135.214,2018-10-24 20:23:03.485505+00:00,1,,,493,1,267,162,10,-6,0,0,6,26.5,4,2,0,0,0,2,35,-2,1,0,0,0,0,0,0,8,8,2,2,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
2,n0wkni47,0,183,183,etfs,Adios,128.200.135.208,2018-10-24 20:23:04.137892+00:00,1,,,652.9,2,43,27,4,-1,0,0,1,26.7,3,4,0,0,0,1,33.5,-4,8,0,43,1,0,0,0,13,13,-1,-1,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
3,0hcfd9ib,0,183,183,etfs,Adios,128.200.135.201,2018-10-24 20:23:04.086929+00:00,1,,,434.9,3,564,-141,2,3,27,10,2,28,5,3,2,34,2,3,38,-5,0,0,0,0,0,0,0,13,13,0,0,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
4,l3xbnn7g,0,184,183,etfs,Adios,128.200.135.206,2018-10-24 20:23:05.465932+00:00,1,,,728.7,4,471,60,0,0,0,0,0,0,0,7,-2,0,0,2,27,-5,0,0,0,0,0,0,0,-12,-12,-5,-5,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
5,ih5zksdd,0,183,183,etfs,Adios,128.200.135.209,2018-10-24 20:23:05.463967+00:00,1,,,705.1,5,197,90,4,0,0,0,0,0,4,6,-3,0,0,3,25,-3,4,0,0,0,0,0,0,-11,-11,1,1,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
6,1bjrkr2b,0,184,183,etfs,Adios,128.200.135.212,2018-10-24 20:23:06.293803+00:00,1,,,726,6,516,0,2,0,0,0,0,0,2,5,0,0,0,0,0,-5,0,0,58,4,0,0,0,-12,-12,-3,-3,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
7,xlafzq6t,0,184,183,etfs,Adios,128.200.135.216,2018-10-24 20:23:08.102184+00:00,1,,,667.3,7,687,-288,2,4,30,4,0,0,6,0,4,40,4,0,0,-4,2,1,60,2,0,0,0,0,0,2,2,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
8,h6pgmbw9,0,184,183,etfs,Adios,128.200.135.218,2018-10-24 20:23:08.845384+00:00,1,,,926.1,8,224,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,50,1,1,60,0,0,0,0,0,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
9,ck0yqaql,0,184,183,etfs,Adios,128.200.135.199,2018-10-24 20:23:08.956154+00:00,1,,,495,9,379,30,6,0,20,4,4,28,6,3,-1,20,3,2,30,-2,4,0,0,0,0,0,0,1,1,4,4,1,27,30,57,27,7,1,30,6,-1,60,1,0,6,6,clpcm192
1,avnydzjr,0,184,183,etfs,Adios,128.200.135.214,2018-10-24 20:23:03.485505+00:00,1,,,493,1,429,0,4,0,0,0,4,28,-4,2,0,0,0,1,33,2,1,0,0,0,0,40,0,6,6,-2,-2,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
2,n0wkni47,0,183,183,etfs,Adios,128.200.135.208,2018-10-24 20:23:04.137892+00:00,1,,,652.9,2,70,0,3,0,0,0,1,28,-3,4,0,0,0,2,31,4,8,0,60.1,1,0,0,0,14,14,1,1,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
3,0hcfd9ib,0,183,183,etfs,Adios,128.200.135.201,2018-10-24 20:23:04.086929+00:00,1,,,434.9,3,423,119.96,5,0,0,0,5,29.5,-5,5,-4,0,0,5,29.99,1,0,0,0,0,0,0,0,9,9,-4,-4,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
4,l3xbnn7g,0,184,183,etfs,Adios,128.200.135.206,2018-10-24 20:23:05.465932+00:00,1,,,728.7,4,531,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,-7,-7,5,5,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
5,ih5zksdd,0,183,183,etfs,Adios,128.200.135.209,2018-10-24 20:23:05.463967+00:00,1,,,705.1,5,287,0,4,0,15,1,0,0,-4,3,0,20,2,0,0,3,4,0,55,2,0,0,0,-12,-12,-1,-1,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
6,1bjrkr2b,0,184,183,etfs,Adios,128.200.135.212,2018-10-24 20:23:06.293803+00:00,1,,,726,6,516,0,2,0,0,0,0,0,-2,5,0,0,0,4,30,5,0,0,0,0,0,0,0,-9,-9,3,3,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
7,xlafzq6t,0,184,183,etfs,Adios,128.200.135.216,2018-10-24 20:23:08.102184+00:00,1,,,667.3,7,399,-99.96,6,-3,0,0,3,26,-3,4,4,31,4,0,0,8,3,1,61,1,0,0,0,5,5,5,5,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
8,h6pgmbw9,0,184,183,etfs,Adios,128.200.135.218,2018-10-24 20:23:08.845384+00:00,1,,,926.1,8,284,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,50,1,1,61,0,0,0,0,0,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
9,ck0yqaql,0,184,183,etfs,Adios,128.200.135.199,2018-10-24 20:23:08.956154+00:00,1,,,495,9,409,-81,6,3,27,4,3,30,-9,2,0,15,3,1,32.5,2,4,0,0,0,0,0,0,-6,-6,-7,-7,1,27,29.99,56.99,27,3,-1,29.99,4,1,61,1,0,7,7,clpcm192
1,avnydzjr,0,184,183,etfs,Adios,128.200.135.214,2018-10-24 20:23:03.485505+00:00,1,,,493,1,429,-27,4,1,27,2,0,0,5,2,0,0,0,2,30,0,1,0,60,1,0,0,1,12,12,6,6,1,27,28,55,27,3,1,28,2,0,61.26,2,1,8,8,clpcm192
2,n0wkni47,0,183,183,etfs,Adios,128.200.135.208,2018-10-24 20:23:04.137892+00:00,1,,,652.9,2,70,-34.26,3,-1,0,0,1,26.99,2,4,0,0,0,1,29.99,0,8,1,61.5,1,0,0,9,25,25,11,11,1,27,28,55,27,3,1,28,2,0,61.26,2,1,8,8,clpcm192
3,0hcfd9ib,0,183,183,etfs,Adios,128.200.135.201,2018-10-24 20:23:04.086929+00:00,1,,,434.9,3,542.96,-110,5,2,27.01,2,4,31,7,1,2,29.98,2,1,32,0,0,0,61.01,5,0,0,0,16,16,7,7,1,27,28,55,27,3,1,28,2,0,61.26,2,1,8,8,clpcm192
4,l3xbnn7g,0,184,183,etfs,Adios,128.200.135.206,2018-10-24 20:23:05.465932+00:00,1,,,728.7,4,531,-61.26,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,65,1,0,0,1,-6,-6,1,1,1,27,28,55,27,3,1,28,2,0,61.26,2,1,8,8,clpcm192
5,ih5zksdd,0,183,183,etfs,Adios,128.200.135.209,2018-10-24 20:23:05.463967+00:00,1,,,705.1,5,287,0,4,0,0,0,2,35,4,3,0,0,0,1,33,0,4,0,0,0,1,68,4,-4,-4,8,8,1,27,28,55,27,3,1,28,2,0,61.26,2,1,8,8,clpcm192
6,1bjrkr2b,0,184,183,etfs,Adios,128.200.135.212,2018-10-24 20:23:06.293803+00:00,1,,,726,6,516,54,2,-2,0,0,2,22.5,0,5,0,0,0,3,28.5,0,0,0,0,0,0,0,0,-9,-9,0,0,1,27,28,55,27,3,1,28,2,0,61.26,2,1,8,8,clpcm192
7,xlafzq6t,0,184,183,etfs,Adios,128.200.135.216,2018-10-24 20:23:08.102184+00:00,1,,,667.3,7,299.04,178.51,3,0,0,0,0,0,3,8,-2,0,0,5,28,0,4,-2,0,0,2,59,2,10,10,5,5,1,27,28,55,27,3,1,28,2,0,61.26,2,1,8,8,clpcm192
