participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,ozhitwwt,,0,184,183,etfs,Adios,128.200.135.209,2019-05-01 22:27:44.616064+00:00,1,,,673.5,1,440,0,8,0,7,2,2,13,-8,2,0,14,4,1,22,2,0,0,24,5,0,32,0,-6,0,-6,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
2,qf65adf4,,0,184,183,etfs,Adios,128.200.135.206,2019-05-01 22:27:44.695917+00:00,1,,,492.4,2,440,14,8,0,4,1,0,0,-8,2,-1,0,0,1,2,1,0,0,0,0,0,0,0,-7,0,-7,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
3,ahneqn9o,,0,184,183,etfs,Adios,128.200.135.218,2019-05-01 22:27:45.113133+00:00,1,,,662.6,3,440,-39.5,8,0,10,1,1,9,-8,2,1,18,1,1,17,3,0,1,28,1,0,27,0,-5,0,-5,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
4,0p8cypcm,,0,183,183,etfs,Adios,128.200.135.201,2019-05-01 22:27:46.467636+00:00,1,,,676,4,396,14,2,0,0,0,0,0,-2,8,-1,0,0,1,1,7,0,0,0,0,0,0,0,5,0,5,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
5,plnuqqn0,,0,184,183,etfs,Adios,128.200.135.212,2019-05-01 22:27:46.487816+00:00,1,,,633.4,5,396,-33,2,-1,0,0,2,9,-1,8,3,14,4,8,18,11,0,0,22,10,0,0,0,10,0,10,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
6,lmajtu3j,,0,184,183,etfs,Adios,128.200.135.208,2019-05-01 22:27:46.995764+00:00,1,,,565,6,396,65,2,-1,0,0,1,1,-1,8,-4,1,5,4,5,4,0,0,2,3,0,0,0,3,0,3,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
7,ts9j0vus,,0,183,183,etfs,Adios,128.200.135.216,2019-05-01 22:27:47.849395+00:00,1,,,632,7,280,-46,0,2,11,2,0,0,-2,0,2,19,2,0,0,2,10,0,0,0,2,27,0,0,0,0,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
8,qesdz80v,,0,184,183,etfs,Adios,128.200.135.199,2019-05-01 22:27:48.947893+00:00,1,,,560.2,8,280,25.5,0,0,2,2,0,0,0,0,0,4,2,0,0,0,10,-1,0,0,1,10,0,0,0,0,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
9,m66uyzpp,,0,183,183,etfs,Adios,128.200.135.214,2019-05-01 22:27:49.195493+00:00,1,,,691,9,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,9,14,23,9,3,-1,14,6,1,25.5,1,0,1,1,yn7yehyz
1,ozhitwwt,,0,184,183,etfs,Adios,128.200.135.209,2019-05-01 22:27:44.616064+00:00,1,,,673.5,1,440,0,8,0,8,4,2,12,8,2,0,14,4,1,22,-2,0,0,25,2,0,32,0,0,0,6,0,1,10,17,27,10,3,1,17,2,-1,26,1,0,2,2,yn7yehyz
